Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"5/Strict, accumulated loop",2.1620005419941668e-7,2.104325104149047e-7,2.215261030676317e-7,1.968003915416496e-8,1.698622954037622e-8,2.137493343988065e-8
5/Strict left-fold,2.41763497734283e-7,2.3887621121504213e-7,2.4529434175580815e-7,1.0172306034983526e-8,8.640549262002125e-9,1.372787010801275e-8
5/DSC with factorisation,1.8322454724257221e-6,1.8099648405426302e-6,1.8543555764713963e-6,7.338841591806253e-8,6.369949552475606e-8,8.652430082704484e-8
5/DSC with factorisation (optimised),1.9245180507189548e-6,1.9049249722459364e-6,1.9454506535579633e-6,8.601854547234811e-8,7.203907107558823e-8,1.0237637445600132e-7
5/DSC with recursion,1.5873076586649807e-7,1.5465731305741584e-7,1.6370714981403605e-7,1.6242497472230775e-8,1.2796631678876833e-8,2.012289949756082e-8
"10/Strict, accumulated loop",4.88981336766914e-7,4.874866147568981e-7,4.908722423828942e-7,5.5423555078797425e-9,4.6891833036060694e-9,6.560573938271181e-9
10/Strict left-fold,4.972852270165634e-7,4.963236167171754e-7,4.987121591490522e-7,3.3567936224280542e-9,2.2410963878829093e-9,5.188357093767616e-9
10/DSC with factorisation,7.297344029447732e-6,7.236031126643599e-6,7.397362221693108e-6,2.8037600649229925e-7,2.31816027106641e-7,3.8821689676172946e-7
10/DSC with factorisation (optimised),7.265425237653075e-6,7.207796580934382e-6,7.336549684166654e-6,2.434258362833706e-7,1.763011993340289e-7,3.2883247253853437e-7
10/DSC with recursion,4.83912361011722e-7,4.771954346303899e-7,4.92020306818362e-7,2.4567983381127894e-8,2.195005163215868e-8,2.838477154196019e-8
"25/Strict, accumulated loop",1.3179020758021225e-6,1.308482923013348e-6,1.3301156069304662e-6,3.211870832953513e-8,2.619284825769005e-8,4.0866682786504346e-8
25/Strict left-fold,1.2438608191243717e-6,1.2366721210333326e-6,1.2538560231871536e-6,2.8244835294126102e-8,2.513420333587912e-8,3.330143746500214e-8
25/DSC with factorisation,1.2124061661770297e-5,1.2034477907993992e-5,1.2245424863454203e-5,3.529411255970074e-7,2.941050142181616e-7,4.3611784256761957e-7
25/DSC with factorisation (optimised),1.2262855470010479e-5,1.2146304656568516e-5,1.2416500266030476e-5,5.067090904164699e-7,3.899124474677739e-7,6.650746629828842e-7
25/DSC with recursion,9.458804015784298e-7,9.408977279979805e-7,9.521884239693555e-7,2.077314785728793e-8,1.5691855800631062e-8,3.118011895032667e-8
