factorials> benchmarks
Running 1 benchmarks...
Benchmark factorials-space-bench: RUNNING...

strict accumulated loop

  Case       Allocated    GCs
  5                128      0
  10               288      0
  25             1,200      0
  100           10,464      0
  1000         718,448      0
  5000      21,295,848     20
  10000     92,939,968     89
  50000  2,819,879,456  2,612

strict left-fold

  Case       Allocated    GCs
  5                408      0
  10               848      0
  25             2,408      0
  100           14,856      0
  1000         685,400      0
  5000      19,331,520     19
  10000     84,505,416     80
  50000  2,597,394,368  2,407

PrimeSwing

  Case    Allocated  GCs
  5           3,736    0
  10          9,952    0
  25         19,704    0
  100        88,000    0
  1000      323,616    0
  5000    1,249,128    1
  10000   2,631,632    2
  50000  24,671,808   24

PrimeSwing (opt)

  Case    Allocated  GCs
  5             128    0
  10         41,816    0
  25         45,328    0
  100        61,976    0
  1000      172,808    0
  5000      739,920    0
  10000   1,776,672    1
  50000  22,290,648   22

SplitRecursive

  Case   Allocated  GCs
  5            128    0
  10           424    0
  25         1,000    0
  100        3,920    0
  1000      40,624    0
  5000     216,840    0
  10000    467,768    0
  50000  2,661,768    2
Benchmark factorials-space-bench: FINISH
